source,target,weight
Bear,Helmet,1
Bear,King,1
Bear,Rambutan,1
Bear,Zzu,5
Blondie,Jeremy,1
Blondie,Mascot,1
Blondie,Poodle,1
Boss,Blondie,1
Boss,Jeremy,1
Boss,Poodle,1
Boss,Rambutan,3
Boss,Totem,1
Helmet,Bear,1
Helmet,King,1
Helmet,Rambutan,1
Helmet,Romeo,1
Helmet,Totem,2
Helmet,Uncle,1
Helmet,Zzu,1
Jeremy,Blondie,1
Jeremy,Boss,2
Jeremy,Rambutan,1
Jeremy,Scruffy,1
Jeremy,Totem,5
Jeremy,Uncle,1
King,Poodle,1
King,Rambutan,1
King,Zzu,1
Mascot,Blondie,1
Mascot,Zzu,1
Poodle,Bear,1
Poodle,Rambutan,1
Poodle,Totem,3
Rambutan,Boss,2
Rambutan,King,2
Rambutan,Poodle,1
Rambutan,Zzu,1
Scruffy,Jeremy,1
Totem,Boss,2
Totem,Jeremy,3
Totem,King,1
Totem,Romeo,1
Totem,Zzu,1
Uncle,Helmet,1
Uncle,Jeremy,1
Uncle,King,2
Uncle,Mascot,1
Uncle,Romeo,2
Uncle,Zzu,2
Zzu,Bear,7
Zzu,Helmet,1
Zzu,King,1
Zzu,Mascot,1
Zzu,Rambutan,1
Zzu,Uncle,1
